2022-12-24 22:09:22,979 INFO    MainThread:710459 [wandb_setup.py:_flush():68] Configure stats pid to 710459
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_setup.py:_flush():68] Loading settings from /home/yoda/.config/wandb/settings
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_setup.py:_flush():68] Loading settings from /home/yoda/Documents/Selective-Kernel-Networks/wandb/settings
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/yoda/Documents/Selective-Kernel-Networks/train.py'}
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_init.py:_log_setup():476] Logging user logs to /home/yoda/Documents/Selective-Kernel-Networks/wandb/run-20221224_220922-31qy2bsd/logs/debug.log
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_init.py:_log_setup():477] Logging internal logs to /home/yoda/Documents/Selective-Kernel-Networks/wandb/run-20221224_220922-31qy2bsd/logs/debug-internal.log
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_init.py:init():516] calling init triggers
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0005, 'architecture': 'SKNet26', 'dataset': 'COVID-19 Radiography', 'epochs': 20, 'batch_size': 16, 'weight_decay': 0}
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_init.py:init():569] starting backend
2022-12-24 22:09:22,980 INFO    MainThread:710459 [wandb_init.py:init():573] setting up manager
2022-12-24 22:09:22,982 INFO    MainThread:710459 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-24 22:09:22,983 INFO    MainThread:710459 [wandb_init.py:init():580] backend started and connected
2022-12-24 22:09:22,985 INFO    MainThread:710459 [wandb_init.py:init():658] updated telemetry
2022-12-24 22:09:22,998 INFO    MainThread:710459 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-24 22:09:24,003 INFO    MainThread:710459 [wandb_run.py:_on_init():2006] communicating current version
2022-12-24 22:09:24,207 INFO    MainThread:710459 [wandb_run.py:_on_init():2010] got version response 
2022-12-24 22:09:24,207 INFO    MainThread:710459 [wandb_init.py:init():728] starting run threads in backend
2022-12-24 22:09:28,279 INFO    MainThread:710459 [wandb_run.py:_console_start():1986] atexit reg
2022-12-24 22:09:28,279 INFO    MainThread:710459 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-24 22:09:28,280 INFO    MainThread:710459 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-24 22:09:28,280 INFO    MainThread:710459 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-24 22:09:28,280 INFO    MainThread:710459 [wandb_init.py:init():765] run started, returning control to user process
2022-12-24 22:09:30,251 INFO    MainThread:710459 [wandb_run.py:_tensorboard_callback():1299] tensorboard callback: tensorboard/SKNet26_lr_0.0005_epoch_20_decay_0, True
2022-12-24 22:14:00,537 INFO    MainThread:710459 [wandb_run.py:_tensorboard_callback():1299] tensorboard callback: tensorboard/SKNet26_lr_0.0005_epoch_20_decay_0, True
